text,generated
"“Of course I would have,” Jay-Z said, “but I said, ‘No, you get me.’ That is not how you go about it, telling someone that they’re going to do the halftime show contingent on who they bring. I said forget it. It was a principle thing.”",0
"Florence Pugh grew up around hustlers; she doesn’t believe in fairy tales. But there have been moments in her life when she felt like a character in a book. This happened once when she was 9 or 10, and working in the garden with her mother in Oxford. Pugh had a respiratory illness that kept her out of school for long stretches of time. At home, when she wasn’t studying or attempting cartwheels in the yard, she would help her mother with chores around the house, or in the garden, turning up weeds and tamping down bulbs.",0
"“These are important tenant protections and it’s about time we had them,” said Michael McKee, treasurer of the Tenants PAC. “Real estate brokers have been able to get away with a lot for a long time so it’s about time they got reined in.”",0
"Rick Esenberg, president and general counsel of the Law and Liberty institute, said the Elections Commission’s delay threatened to undermine public trust in elections, both by ignoring the rules on purges and by leaving the rolls filled with people who no longer have the right to cast ballots.",0
"In the Gare de Lyon courtyard, the dozens of strikers milling around were asked for a show of hands about whether to prolong the strike. Every hand shot up, and there was a roar of approval.",0
"Mr. Trump has professed bafflement that his numbers with black voters are not higher, telling allies he assumed he would fare better because the economy is doing well and unemployment among African-Americans has dropped.",0
"A hundred years ago this month, the U.S. embarked on a 13-year official prohibition on the “manufacture, sale or transportation of intoxicating liquors” anywhere within the country.",0
"That arcane quality, Mr. Chantry said, also served as a sort of rite of membership.",0
"“Our government will continue to work closely with its international partners to ensure that this crash is thoroughly investigated, and that Canadians’ questions are answered,” he added.",0
"The Associated Press has said that although it will report all three numbers, it will “declare a winner in Iowa based on the number of state delegates each candidate wins.”",0
"Puerto Rico: Power losses after a 6.4-magnitude earthquake have affected two-thirds of the island’s population, and thousands slept outside in fear of new tremors. Workers were urged to stay home on Wednesday.",0
"Once again, Mr. Trump will claim justification for this action, purportedly taken to end increasing violence that he himself initiated by ending the nuclear agreement with Iran and imposing sanctions.",0
"This, our first edition, was chosen in honor of our new STEM writing contest, which challenges students to choose an issue or question in science, technology, engineering, math or health that interests them, and then write a 500-word explanation that will engage and enlighten readers.",0
"It’s no secret that Donald Trump, just months before he ran for the job of most powerful man in the world, was hosting Season 7 of “The Celebrity Apprentice.” But not all his TV appearances as president have been as reality-fied as one might have expected, especially his sedate, from-the-TelePrompTer State of the Union speeches.",0
"This year, Disney put out the call for applications in August and kept the application portal open for one week in September. Many people apply for years before becoming panelists.",0
"Mr. Modi’s government has said that the measure is misunderstood and aims only to help religious minorities that are persecuted in Bangladesh, Afghanistan and Pakistan.",0
"It seems likely that the majority of the denomination’s churches in the United States would remain in the existing United Methodist Church, which would become a more liberal-leaning institution as conservative congregations worldwide depart.",0
"“I knew from a very young age that the Bronx was O.K. for living in, but that my destiny was in Manhattan,” she said in the oral history interview. “And I knew that there were all kinds of interesting places you could go, and things to see, and things to think about in Manhattan.",0
"Jackson threw just six interceptions this season, his last one in Week 14. The Titans have the ball on the Ravens’ 35 yard line, close to field-goal range.",0
"One child, who had been looking after his sheep, was killed in a roadside bomb explosion in the village of Na-khod-Amodah in Qadis District.",0
"SARAH TOLLEMACHE at the Creek and the Cave (Jan. 6-11, 7 p.m.). This comedian, who has performed on “The Late Show With Stephen Colbert” and “The Late Late Show With James Corden,” and has racked up credits on NBC and Comedy Central, will record her first album in February at New York Comedy Club. Tollemache will use this Week at the Creek engagement in Long Island City, Queens, to prepare and decide which jokes will make the final cut.",0
"Jesper Brodin, the chief executive of Ikea, said his company was already feeling the impact. Severe flooding in the United States temporarily closed many of its stores. Energy prices in Sweden skyrocketed during a recent heat wave. Fires in Australia have disrupted business there.",0
"The Supreme Court is still reeling from a series of ugly confirmation battles that placed two of Mr. Trump’s nominees on its bench. And Chief Justice Roberts has exchanged sharp remarks with Mr. Trump, laying bare a fundamental disagreement about the independence of federal judges.",0
"Is Carlson himself abetting hatred of Jews? In a rare point of agreement, some Jews and white nationalists believe so, pointing to an on-air rant last month in which he bashed a Jewish billionaire, Paul Singer, by comparing him unfavorably with Henry Ford, who owned a newspaper that ran a lengthy series alleging a Jewish plot to dominate the world.",0
"In reality, the temperance movement was anything but pinky-raising Victorians forbidding society to drink. Temperance was the longest-running, most widely supported social movement in both American and global history. Its foe wasn’t the drink in the bottle or the drunk who drank it, but the drink traffic: powerful business interests — protected by a government reliant on liquor taxes — getting men addicted to booze, and then profiting handsomely by bleeding them and their families dry.",0
"As for Mr. Powell, it is at this point hard even to recall how or why he identified himself as a Republican. Yet at the time the Cold War was ending, the Democrats were calling for a “peace dividend” that included substantial cuts in the defense budget, and Mr. Powell, working closely with Mr. Cheney, labored hard, and for the most part successfully, to resist those efforts.",0
"“Music to Be Murdered By,” the latest album by the 47-year-old rapper Eminem, topped the Billboard chart this week after a surprise release, becoming his 10th straight album to debut at No. 1, the most of all time and one better than Kanye West, who has an active streak of nine.",0
"Long before the Iraq war, he was accused of playing a role in the bombings of French and American Embassies in Kuwait in 1983, and the later attempt to assassinate Kuwait’s emir.",0
"Over the past four years, to protect their supply lines, the guerrillas had wiped out the river pirates who had terrorized Parmana’s fishermen, robbing their boats of motors and killing several people.",0
"On the poorer outskirts of the city, residents continue to struggle with water shortages and malnutrition. And in the countryside beyond, Venezuela is falling apart, with residents lacking even the most basic services, like electricity and the police.",0
"Instead of paying the refund, the clerk made inquiries. She soon received a peppery letter from a German law firm that threatened to hold her “PERSONALLY” accountable “under criminal, disciplinary and liability law.” The clerk reported all of this to prosecutors, which ultimately led to the trial in Bonn.",0
"Six months ago, he changed his agent, proof that he knows he has, at the very least, been poorly advised. He cannot change, now, the choices he made. But you wonder if — over the next couple of weeks of the transfer window — a few players might do well to reflect on what happened to Drinkwater — not just how far he fell, but how fast, and all because of one wrong step.",0
"The kitchen includes white wood cabinets with marble countertops, a white bead-board wainscot and a butcher-block work area with seating placed against a wall, to make efficient use of the narrow space. The gas range is Thermador, the dishwasher Bosch and the refrigerator Sub-Zero.",0
"So a recording of Big Ben was played outside. Inside 10 Downing Street, Mr. Johnson banged a gong.",0
"Mr. Trump called Representative Jerry Nadler of New York a “sleaze bag” and referred to Representative Adam Schiff, the chairman of the House Intelligence Committee, as a “con job” and a “corrupt politician.”",0
"The corporate financial backers of an advocacy campaign to promote this plan range from oil, gas and nuclear interests to solar, wind and geothermal businesses to prominent auto and tech companies. If such a diverse group can agree on a breakthrough solution, political leaders on both sides of the aisle should be able to as well.",0
Cook: There’s only one rule for cheesy cornbread muffins: Don’t overmix.,0
President Trump and other American officials have said that General Suleimani was in the midst of planning attacks on United States forces when he was killed. But the general may have also been working as a go-between in quiet efforts to reduce the tension between Iran and Saudi Arabia.,0
"“The fact that they performed multiple versions is so telling about this aesthetic, that there’s many many ‘right ways’ to do this,” she said. “And the weirder and more creative you get with it, actually, the better it’s going to get.",0
"Late last year, a Federal District Court judge rejected that theory in a case involving a congressional subpoena to Mr. Trump’s former White House counsel, Donald F. McGahn II. But Mr. McGahn does not want to cooperate and has permitted the Justice Department to file an appeal on his behalf, and the litigation is continuing.",0
"The move could upend the plans of millions of Chinese citizens, who travel in huge numbers during the Lunar New Year holiday that officially begins on Friday. Experts have warned that the virus would proliferate during the mass travel period.",0
"In the second season of Facebook’s crime-horror anthology, Ryan Kwanten (“True Blood”) plays the jailed father of an abandoned girl (Jordan Alexander), and Juliette Lewis plays an armchair detective. (Facebook Watch, Feb. 20)",0
"“Knowing the reverence he holds for the presidency — the office, not the person — and for the Senate process and how seriously he takes impeachment, it was going to have to be very clear in his mind that the offense clearly fit the high bar set in the Constitution.”",0
"Among malaria researchers, the main worry isn’t that gene drives will be too powerful but that they won’t be powerful enough. For one thing, it’s unclear whether a gene drive — which can rapidly change the offspring of hundreds of mosquitoes held captive in a cage — will do the same in the real world. “In the wild, mosquitoes are very dispersed,” James told me. “And it’s not clear how much they’re interacting with each other — there are mountains, rivers. It’s so stochastic. If the one male in that area dies, that’s it for that area.”",0
"Archbishop Chaput, the first Native American archbishop and a member of the Prairie Band Potawatomi Tribe, said he would continue to live in Philadelphia and be involved in the archdiocese. He plans to take three months to read, cook and pray, and then resume activities like giving talks and leading retreats.",0
"Mr. Biden responded to Ms. Ernst’s comments head-on, presenting them as proof that Mr. Trump’s team was using the impeachment trial to try to hobble his candidacy.",0
"But Mr. Railsback said he was also committed to the Constitution, which, he explained later, the president appeared to have violated by withholding evidence from Congress and, even more, by implicating himself in a cover-up in conversations recorded on White House tapes, which the courts had ordered the administration to release.",0
"“I started in this business 25 years ago and I’m lucky because I’m still working by my stomach,’’ Mr. Michele said, meaning he is driven less by marketing than by instinct. “At a certain point in the business, it was ‘Sell the bag, sell the bag, sell the bag’.’’ That, he said, was the point at which he found himself bored and depressed and looking for the exit.",0
"After the virus struck, confusion came quickly. Ms. Ishida said she first learned that her two-week cruise might be extended not from the crew, but from an article she read online on Monday. That report said a man from Hong Kong who had disembarked from the ship, the Diamond Princess, in his home city on Jan. 25 had tested positive for the virus.",0
"Potential violations of the new guidelines, the I.O.C. said, would be evaluated by an athlete’s national Olympic committee, the international federation for the sport involved, and the I.O.C. Disciplinary action will be taken on a case-by-case basis “as necessary,” the I.O.C. said.",0
"Prabhjeet Singh, an Oyo business development manager who left the company in September, said employees who criticized the company ran a greater risk of losing their jobs.",0
"Maj. Jeff Monaghan, an official based in Kingston, Ontario, wrote in an email: “Plse advise the Commissionaires that apparently Fort Frontenac is both a Pokégym and a Pokéstop. I will be completely honest in that I have not idea what that is.”",0
"The measure is the latest in a series of steps the Trump administration has taken to combat what it describes as a pressing security threat: China’s acquisition of advanced technologies that could give the country both a commercial and a military edge. Many of those efforts have focused on Huawei, which sells global telecom equipment that American officials fear will give Beijing new channels for control and surveillance. Huawei says that its networks are secure and that it does not spy for the Chinese government.",0
"Of course, New Hampshire went speed dating that same year, and that’s how we got Donald. So New Hampshire’s not like some big expert, either.",0
"“What if someone woke up today, and discovered that as much as they were trying to run away from it, they’ve ended up being Yerma or they’ve ended up being Medea?” he said. “That’s my particular obsession.” You could argue that plays like “Yerma” and “Medea” don’t need updating. That’s why they’re classics. But plenty of canonical works — Euripides’s plays or Seneca’s or Shakespeare’s — were remixes, too.",0
"Photographs of the procession showed an elaborately decorated truck carrying General Suleimani’s coffin through streets packed densely with mourners, many wearing black and carrying pictures of the dead commander.",0
Listen and subscribe to our podcast from your mobile device: Via Apple Podcasts | Via RadioPublic | Via Stitcher,0
"“Don is looking forward to his speech at the Safari Club convention and is proud to add Brian Wilson to the list of liberal Hollywood elites who he has successfully triggered,” Andy Surabian, a spokesman for Mr. Trump, said on Tuesday.",0
The big question is whether the proliferation of climate-related disasters will finally be enough to break though the opposition to action.,0
"“In fact, I wish these people, instead of throwing stones at us, were firing weapons at us,” the general said in an interview at the time. “Then I would have been happy.”",0
"“For Bibi and Trump, peace means Palestinian submission.” [+972 Magazine]",0
• Washington is again abuzz with speculation over the identity of the anonymous Trump administration official who wrote an NYT Opinion piece and a book criticizing Mr. Trump. (Politico),0
